技能,输出方式,文本系数,当前系数
抱残式,无,,
冲阴阳,无,,
楚河汉界,无,,
春泥护花,无,,
大道无术,无,,
蝶弄足,无,,
斗转星移,无,,
盾立,无,,
风流云散,无,,
扶摇直上,无,,
孤风飒踏,无,,
鸿蒙天禁,无,,
后撤,无,,
化蝶,无,,
极乐引,无,,
疾如风,无,,
剑转流云,无,,
九霄风雷,无,,
枯残蛊,无,,
雷震子,无,,
凌然天风,无,,
凌太虚,无,,
凌霄揽胜,无,,
迷心蛊,无,,
鸟翔碧空,无,,
蹑云逐月,无,,
破苍穹,无,,
骑御,无,,
琴音共鸣,无,,
穹隆化生,无,,
任驰骋,无,,
如意法,无,,
蚀心蛊,无,,
碎星辰,无,,
太极无极,无,,
太阴指,无,,
梯云纵,无,,
天地低昂,无,,
星楼月影,无,,
烟雨行,无,,
瑶台枕鹤,无,,
迎风回浪,无,,
游风飘踪,无,,
云栖松,无,,
紫气东来,无,,
坐忘无我,无,,
暗尘弥散,无,,
乘黄之威,无,,
大狮子吼,无,,
锻骨诀,无,,
夺命蛊,无,,
风袖低昂,无,,
浮光掠影,无,,
撼如雷,无,,
花语酥心,无,,
疾电叱羽,无,,
惊鸿游龙,无,,
临时飞爪,无,,
七星拱瑞,无,,
鹊踏枝,无,,
三才化生,无,,
生太极,无,,
圣明佑,无,,
踏星行,无,,
吞日月,无,,
无相诀,无,,
五蕴皆空,无,,
洗兵雨,无,,
徐如林,无,,
应天授命,无,,
驭羽骋风,无,,
渊,无,,
逐云寒蕊,无,,
转乾坤,无,,
傍花随柳,无,,
怖畏暗刑,无,,
孤影化双,无,,
蛊虫献祭,无,,
雷霆震怒,无,,
龙啸九天,无,,
女娲补天,无,,
千蝶吐瑞,无,,
抢珠式,无,,
散流霞,无,,
舍身诀,无,,
十方玄机,无,,
守如山,无,,
听风吹雪,无,,
雾暗迷云,无,,
笑醉狂,无,,
啸如虎,无,,
长针,无,,
镇山河,无,,
捉影式,无,,
